id	dataset_id	institution_code	collection_code	catalog_number	basis_of_record	scientific_name	scientific_name_author	taxon_id	kingdom	phylum	class	order	family	genus	specific_epithet	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id	country_code	host_country	latitude	longitude	year	month	event_date	elevation_in_meters	depth_in_meters	verbatim_scientific_name	taxon_rank	verbatim_kingdom	verbatim_phylum	verbatim_class	verbatim_order	verbatim_family	verbatim_genus	verbatim_specific_epithet	verbatim_infraspecific_epithet	verbatim_latitude	verbatim_longitude	coordinate_precision	maximum_elevation_in_meters	minimum_elevation_in_meters	elevation_precision	minimum_depth_in_meters	maximum_depth_in_meters	depth_precision	continent_ocean	state_province	county	country	recorded_by	locality	verbatim_year	verbatim_month	day	verbatim_basis_of_record	identified_by	date_identified	created	modified
2294758	fe35d6a0-0c6e-11dd-84d2-b8a03c50a862	S	Fungi	L31783	PRESERVED_SPECIMEN	Chaenotheca trichialis (Ach.) Th. Fr.	(Ach.) Th. Fr.	5261524	Fungi	Ascomycota	Lecanoromycetes		Coniocybaceae	Chaenotheca	Chaenotheca trichialis (Ach.) Th. Fr.	5	95	180		6243	2610335	5261524	SE	SE	56.51975	16.40167	1950	1	1950-01-07T00:00Z			Chaenotheca trichialis (Ach.) Th. Fr.		Fungi					Chaenotheca	trichialis		56.519750	16.401666								Europe	Kalmar län	Öland	Sweden	Sten Ahlner	Mörbylånga Öland: Mörbylånga sn, nära Mörbylångadalen hållplats, lövdunge	1950	1	7	S			2007-03-10T00:30Z	2010-09-28T00:38Z
2412383	fe35d6a0-0c6e-11dd-84d2-b8a03c50a862	S	Fungi	L32620	PRESERVED_SPECIMEN	Sclerophora nivea (Hoffm.) Tibell	Tibell	2610329	Fungi	Ascomycota	Lecanoromycetes		Coniocybaceae	Sclerophora	Sclerophora nivea (Hoffm.) Tibell	5	95	180		6243	2610321	2610329	SE	SE			1950	2	1950-02-12T00:00Z			Sclerophora nivea (Hoffm.) Tibell							Sclerophora	nivea											Europe	Uppland	Bondkyrka	Sweden	Sten Ahlner	Uppland: Bondkyrka sn, IV, Gottsunda, V om landsvÃ¤gen	1950-02-12			S			2007-03-10T00:53Z	2009-01-22T01:09Z
2402497	fe35d6a0-0c6e-11dd-84d2-b8a03c50a862	S	Fungi	L5670	PRESERVED_SPECIMEN	Ramalina baltica Lettau	Lettau	2608100	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Ramalina	Ramalina baltica Lettau	5	95	180	1048	4812	2521975	2608100	SE	SE			1950	1	1950-01-03T00:00Z			Ramalina baltica Lettau							Ramalina	baltica											Europe	Ãland	MÃ¶rbylÃ¥nga	Sweden	S. Ahlner	Ãland: MÃ¶rbylÃ¥nga par., kyrkbyn.	1950-01-03			S			2007-03-10T00:51Z	2009-01-22T01:03Z
118560036	84c0e1a0-f762-11e1-a439-00145eb45e9a	ASU	ASULichens	547340	PRESERVED_SPECIMEN	Lecanora populicola (DC.) Duby	(DC.) Duby	2607107	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	Lecanora populicola (DC.) Duby	5	95	180	1048	4828	2569863	2607107	SE	US			1950	2	1950-02-27T00:00Z			Lecanora populicola		Fungi					Lecanora	populicola			0									Värmland		Sweden	S.W. Sundell	Sunnamo, Långtjärn	1950	2	27	Voucher			2007-10-02T11:43Z	2008-04-10T22:13Z
226055117	84c0e1a0-f762-11e1-a439-00145eb45e9a	ASU	Lichens	547340	PRESERVED_SPECIMEN	Lecanora populicola (DC.) Duby	(DC.) Duby	2607107	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Lecanora	Lecanora populicola (DC.) Duby	5	95	180	1048	4828	2569863	2607107	SE	US			1950	2	1950-02-27T00:00Z			Lecanora populicola (DC.) Duby						Lecanoraceae	Lecanora	populicola														Sweden	S.W. Sundell	Sunnamo, Långtjärn	1950	2	27	PreservedSpecimen	H.T. Lumbsch		2009-10-14T15:58Z	2010-08-01T11:08Z
328211477	c1a13bf0-0c71-11dd-84d4-b8a03c50a862	UPS	BOT	L-180621	PRESERVED_SPECIMEN	Pertusaria albescens (Huds.) M. Choisy & Werner		6611099	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Pertusariaceae	Pertusaria	Pertusaria albescens	5	95	180	1051	4113	2599923	6611099	SE	SE			1950	2	1950-02-12T00:00Z			Pertusaria albescens						Lichenes													Europe	Uppland	Uppsala	Sweden	Ahlner, Sten	Bondkyrko IV, Gottsunda				preserved specimen			2011-02-04T01:57Z	2013-12-20T11:06Z
351914990	c1a13bf0-0c71-11dd-84d4-b8a03c50a862	UPS	BOT	L-180629	PRESERVED_SPECIMEN	Diplotomma alboatrum (Hoffm.) Flot.		5261470	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Physciaceae	Diplotomma	Diplotomma alboatrum	5	95	180	1050	8369	5261465	5261470	SE	SE			1950	1	1950-01-29T00:00Z			Diplotomma alboatrum						Lichenes													Europe	Uppland	Alsike	Sweden	Ahlner, Sten	Alsike I, Krusenberg, nära herrgården				preserved specimen			2011-04-29T02:12Z	2013-12-20T10:53Z
2316385	fe35d6a0-0c6e-11dd-84d2-b8a03c50a862	S	Fungi	L37605	PRESERVED_SPECIMEN	Evernia prunastri (L.) Ach.	(L.) Ach.	2605261	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Evernia	Evernia prunastri (L.) Ach.	5	95	180	1048	8305	2605254	2605261	SE	SE	56.51975	16.40167	1950	1	1950-01-03T00:00Z			Evernia prunastri (L.) Ach.		Fungi					Evernia	prunastri		56.519750	16.401666								Europe	Kalmar län	Öland	Sweden	Sten Ahlner	Mörbylånga Öland: Mörbylånga sn, Kyrkbyn	1950	1	3	S			2007-03-10T00:34Z	2010-09-28T00:40Z
2403694	fe35d6a0-0c6e-11dd-84d2-b8a03c50a862	S	Fungi	L48180	PRESERVED_SPECIMEN	Ramalina fastigiata (Pers.) Ach.	Ach.	2608115	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Ramalina	Ramalina fastigiata (Pers.) Ach.	5	95	180	1048	4812	2521975	2608115	SE	SE			1950	1	1950-01-03T00:00Z			Ramalina fastigiata (Pers.) Ach.							Ramalina	fastigiata											Europe	Ãland	MÃ¶rbylÃ¥nga	Sweden	Sten Ahlner	Ãland: MÃ¶rbylÃ¥nga sn, kyrkbyn	1950-01-03			S			2007-03-10T00:51Z	2009-01-22T01:04Z
2347514	fe35d6a0-0c6e-11dd-84d2-b8a03c50a862	S	Fungi	L13929	PRESERVED_SPECIMEN	Lobaria scrobiculata (Scop.) P. Gaertn.	(Scop.) DC.	5477662	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Lobaria	Lobaria scrobiculata (Scop.) P. Gaertn.	5	95	180	1055	8375	2600355	5477662	SE	SE	63.3939	12.93152	1950	2	1950-02-20T00:00Z			Lobaria scrobiculata (Scop.) DC.		Fungi					Lobaria	scrobiculata		63.393897	12.931516								Europe	Jämtlands län	Jämtland	Sweden	Magnus E. Fries	Åre Jämtland; Åre; c. 5 km S om Handöl;;	1950	2	20	S			2007-03-10T00:40Z	2010-09-28T00:42Z
